run_name,benchmark,model_name,experiment_source,is_canonical,file_count,raw_size,tar_size
starcoder2-15b-lora-clean-20260415T155354241294Z,CodeEditorBench,starcoder2-15b-lora-clean,different_size,True,7,24417866,2432186
starcoder2-15b-lora-dirty-20260415T155355630673Z,CodeEditorBench,starcoder2-15b-lora-dirty,different_size,True,7,22477235,2386859
starcoder2-15b-lora-dirty-20260513T105605515507Z,CodeEditorBench,starcoder2-15b-lora-dirty,same_size,True,5,21787645,2349065
starcoder2-15b-lora-unclean-20260422T045142385752Z,CodeEditorBench,starcoder2-15b-lora-unclean,same_size,True,7,22984680,2400993
starcoder2-15b-lora-unclean74k-20260417T033028891121Z,CodeEditorBench,starcoder2-15b-lora-unclean74k,different_size,True,7,22874311,2396525
starcoder2-3b-baseline-20260418T004851033485Z,CodeEditorBench,starcoder2-3b-baseline,different_size,True,7,106607895,5222862
starcoder2-3b-lora-clean-20260415T184243037831Z,CodeEditorBench,starcoder2-3b-lora-clean,different_size,True,7,26218152,2412018
starcoder2-3b-lora-dirty-20260415T185625150058Z,CodeEditorBench,starcoder2-3b-lora-dirty,different_size,True,7,23760202,2329839
starcoder2-3b-lora-dirty-20260514T031602013184Z,CodeEditorBench,starcoder2-3b-lora-dirty,same_size,True,7,23818758,2370543
starcoder2-3b-lora-unclean-20260422T052501034373Z,CodeEditorBench,starcoder2-3b-lora-unclean,same_size,True,7,28720030,2452939
starcoder2-3b-lora-unclean74k-20260415T190943073079Z,CodeEditorBench,starcoder2-3b-lora-unclean74k,different_size,True,7,24667910,2344680
starcoder2-7b-baseline-20260409T221304723202Z,CodeEditorBench,starcoder2-7b-baseline,different_size,True,7,118757814,5190562
starcoder2-7b-lora-clean-20260415T192522528383Z,CodeEditorBench,starcoder2-7b-lora-clean,different_size,True,7,23289220,2397084
starcoder2-7b-lora-dirty-20260415T194416368888Z,CodeEditorBench,starcoder2-7b-lora-dirty,different_size,True,7,23625130,2367221
starcoder2-7b-lora-dirty-20260512T162336480292Z,CodeEditorBench,starcoder2-7b-lora-dirty,same_size,True,5,21853800,2316488
starcoder2-7b-lora-unclean-20260423T171233725739Z,CodeEditorBench,starcoder2-7b-lora-unclean,same_size,True,5,22806107,2363053
starcoder2-7b-lora-unclean74k-20260415T204908165034Z,CodeEditorBench,starcoder2-7b-lora-unclean74k,different_size,True,7,22684740,2339429
qwen2.5-coder-3b-instruct-lora-unclean-20260422T202740715059Z,CodeEditorBench,(quarantine cherry-pick),(see canonical's experiment),False,7,20395143,2444236
qwen2.5-coder-14b-instruct-lora-unclean-20260422T200602565163Z,CodeEditorBench,(quarantine cherry-pick),(see canonical's experiment),False,7,20132052,2411800
starcoder2-7b-baseline-20260415T200314684133Z,CodeEditorBench,(quarantine cherry-pick),(see canonical's experiment),False,7,118595085,5209429
qwen2.5-coder-3b-lora-clean-20260515T165024236513Z,CodeEditorBench,qwen2.5-coder-3b-lora-clean,same_size,True,5,21007648,2533801
qwen2.5-coder-3b-lora-dirty-ss-20260515T170923238880Z,CodeEditorBench,qwen2.5-coder-3b-lora-dirty-ss,same_size,True,5,21691639,2539574
qwen2.5-coder-3b-lora-unclean-ss-20260515T172642718261Z,CodeEditorBench,qwen2.5-coder-3b-lora-unclean-ss,same_size,True,5,21257338,2463478
qwen2.5-coder-3b-lora-unclean74k-20260515T170623225012Z,CodeEditorBench,qwen2.5-coder-3b-lora-unclean74k,same_size,True,5,67236647,4007349
